tf.Tensor(708.704183098828, shape=(), dtype=float64)
tf.Tensor(633.727190708978, shape=(), dtype=float64)
tf.Tensor(499.8038295243212, shape=(), dtype=float64)
tf.Tensor(370.15325683794435, shape=(), dtype=float64)
tf.Tensor(1309.6442633934566, shape=(), dtype=float64)
tf.Tensor(453.64668425173585, shape=(), dtype=float64)
tf.Tensor(420.08178993773106, shape=(), dtype=float64)
tf.Tensor(492.70981424456113, shape=(), dtype=float64)
tf.Tensor(569.5322563740526, shape=(), dtype=float64)
tf.Tensor(360.45817333676024, shape=(), dtype=float64)
tf.Tensor(622.6023948899656, shape=(), dtype=float64)
tf.Tensor(549.4048977649836, shape=(), dtype=float64)
tf.Tensor(661.7691072346519, shape=(), dtype=float64)
tf.Tensor(510.86781080483195, shape=(), dtype=float64)
tf.Tensor(1588.3609840651202, shape=(), dtype=float64)
tf.Tensor(924.8285037030321, shape=(), dtype=float64)
tf.Tensor(562.697945175432, shape=(), dtype=float64)
tf.Tensor(312.63314895276415, shape=(), dtype=float64)
tf.Tensor(583.4845771071472, shape=(), dtype=float64)
tf.Tensor(387.20494250530754, shape=(), dtype=float64)
tf.Tensor(816.9647498092752, shape=(), dtype=float64)
tf.Tensor(474.9533250933731, shape=(), dtype=float64)
tf.Tensor(670.5381638973668, shape=(), dtype=float64)
tf.Tensor(702.352607159273, shape=(), dtype=float64)
tf.Tensor(673.4259912127396, shape=(), dtype=float64)
tf.Tensor(466.4105759421098, shape=(), dtype=float64)
tf.Tensor(491.810510412194, shape=(), dtype=float64)
tf.Tensor(173.06688902618845, shape=(), dtype=float64)
tf.Tensor(571.3890887065711, shape=(), dtype=float64)
tf.Tensor(282.5643172893244, shape=(), dtype=float64)
tf.Tensor(420.1706047369553, shape=(), dtype=float64)
tf.Tensor(903.2483698392913, shape=(), dtype=float64)
tf.Tensor(638.3475524473855, shape=(), dtype=float64)
tf.Tensor(194.4500731106673, shape=(), dtype=float64)
tf.Tensor(380.8269941223769, shape=(), dtype=float64)
tf.Tensor(321.6441223601647, shape=(), dtype=float64)
tf.Tensor(232.15969760314474, shape=(), dtype=float64)
tf.Tensor(555.6580425108099, shape=(), dtype=float64)
tf.Tensor(1002.3921838058225, shape=(), dtype=float64)
tf.Tensor(375.48614397198617, shape=(), dtype=float64)
tf.Tensor(469.5886464024923, shape=(), dtype=float64)
tf.Tensor(848.717233581159, shape=(), dtype=float64)
tf.Tensor(766.557549386521, shape=(), dtype=float64)
tf.Tensor(620.0003727673975, shape=(), dtype=float64)
tf.Tensor(604.9442494620904, shape=(), dtype=float64)
tf.Tensor(461.6003950258353, shape=(), dtype=float64)
tf.Tensor(350.220549782089, shape=(), dtype=float64)
tf.Tensor(1110.9364363832124, shape=(), dtype=float64)
tf.Tensor(751.1104525699229, shape=(), dtype=float64)
tf.Tensor(624.3165424888083, shape=(), dtype=float64)
tf.Tensor(529.0886441636467, shape=(), dtype=float64)
tf.Tensor(796.837514045796, shape=(), dtype=float64)
tf.Tensor(497.2309815836619, shape=(), dtype=float64)
tf.Tensor(385.1334121761589, shape=(), dtype=float64)
tf.Tensor(681.2912372560452, shape=(), dtype=float64)
tf.Tensor(472.0928927983804, shape=(), dtype=float64)
tf.Tensor(681.132406525415, shape=(), dtype=float64)
tf.Tensor(767.8632413485982, shape=(), dtype=float64)
tf.Tensor(272.84016975341973, shape=(), dtype=float64)
tf.Tensor(777.0855871239103, shape=(), dtype=float64)
tf.Tensor(901.3945884187618, shape=(), dtype=float64)
tf.Tensor(857.2711685901191, shape=(), dtype=float64)
tf.Tensor(785.498100804651, shape=(), dtype=float64)
tf.Tensor(809.785523294648, shape=(), dtype=float64)
tf.Tensor(507.5127672463335, shape=(), dtype=float64)
tf.Tensor(403.1018518880055, shape=(), dtype=float64)
tf.Tensor(868.5658297468284, shape=(), dtype=float64)
tf.Tensor(645.9705779982374, shape=(), dtype=float64)
tf.Tensor(658.0279568520855, shape=(), dtype=float64)
tf.Tensor(633.933312346461, shape=(), dtype=float64)
tf.Tensor(578.7422277010148, shape=(), dtype=float64)
tf.Tensor(753.8129889739023, shape=(), dtype=float64)
tf.Tensor(766.0861803967227, shape=(), dtype=float64)
tf.Tensor(336.5274286061009, shape=(), dtype=float64)
tf.Tensor(202.6895254562165, shape=(), dtype=float64)
tf.Tensor(302.813483603565, shape=(), dtype=float64)
tf.Tensor(1251.4978748732065, shape=(), dtype=float64)
tf.Tensor(404.8762139690152, shape=(), dtype=float64)
tf.Tensor(755.2205813901994, shape=(), dtype=float64)
tf.Tensor(811.6305769204803, shape=(), dtype=float64)
tf.Tensor(478.7704600913938, shape=(), dtype=float64)
tf.Tensor(454.3895131249257, shape=(), dtype=float64)
tf.Tensor(458.0244683724617, shape=(), dtype=float64)
tf.Tensor(808.3510651449471, shape=(), dtype=float64)
tf.Tensor(432.4528335150775, shape=(), dtype=float64)
tf.Tensor(405.2925416914787, shape=(), dtype=float64)
tf.Tensor(227.55908239199124, shape=(), dtype=float64)
tf.Tensor(532.833002242088, shape=(), dtype=float64)
tf.Tensor(723.2785772034716, shape=(), dtype=float64)
tf.Tensor(629.139085126805, shape=(), dtype=float64)
tf.Tensor(404.37028133298446, shape=(), dtype=float64)
tf.Tensor(1086.571313206364, shape=(), dtype=float64)
tf.Tensor(375.300862959247, shape=(), dtype=float64)
tf.Tensor(423.8957318349218, shape=(), dtype=float64)
tf.Tensor(427.54938784232434, shape=(), dtype=float64)
